tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
41001010020p0;41001010020p0;1988.0;"model; system; work; phase; film; field; magnetic; quantum; property; order; state; energy; equation; process; method; transition; temperature; different; value; effect; star; galaxy; interaction; potential; density; time; parameter; behavior; material; dynamic";3;4;41001010020p0;astronomia / física;universidade federal de santa catarina;florianópolis;física;sul;126.0;ufsc;sc;"percolation; conformal; demon; entanglement; neutrino; ead; psb; nanotube; galaxy; monopole; eos; star; gv; positron; turbulence; film; sigma; nis; expansion; eclipse; dps; m1; adiabatic; ru; prop; biosensor; nanowire; interface; magnetic; covariant"
53001010063p5;53001010063p5;2006.0;"production; market; producer; research; chain; rural; analysis; product; brazilian; system; family; datum; organic; development; farmer; management; social; consumer; process; state; quality; other; impact; activity; coffee; factor; performance; food; agricultural; brazil";45;4;53001010063p5;interdisciplinar;universidade de brasília;brasília;agronegócios;centro-oeste;86.0;unb;df;"afs; fish; peanut; bioelectricity; lease; transgenic; milk; biodiesel; crop livestock; strawberry; cattle; snail; sustainable innovation; credit; agroextractivist; confinement; producer; condominiums; mpv; pork; coffee; seal; guarantee; organic product; cachaça; fruit; tilapia; cheese; productivity index; profitability"
33002010040p1;33002010040p1;1976.0;"social; work; research; psychology; group; health; process; other; experience; life; analysis; subject; way; family; field; relationship; relation; people; interview; practice; career; professional; action; context; social psychology; community; worker; public; city; mental";37;4;33002010040p1;psicologia;universidade de são paulo;são paulo;psicologia social;sudeste;202.0;usp;sp;"resende; destiny; happiness; militancy; pictogram; career; racism; rj; soul; comfort; lecturer; art; contract; vg; stress; anomalous; neopentecostal; music; caipira; tourism; community therapy; addictive; death; black; prison; social memory; social control; migration; leadership; disorganization"
31017010005p0;31017010005p0;2015.0;"accessibility; research; analysis; information; process; education; project; ethic; work; environment; company; management; people; social; access; quality; course; employee; case; evaluation; business; datum; university; section; code; tool; standard; order; brazilian; compliance";45;3;31017010005p0;interdisciplinar;universidade santa úrsula;rio de janeiro;gestão do trabalho para a qualidade do ambiente contruído;sudeste;33.0;usu;rj;"ethic; bim; ombudsman; pdca; são bento; wheelchair; hiring; comfort; sox; incontinence; petrobras; tactile; down; moodle; navy; accessibility; bento; urinary; ava; emergency; architectural project; power substation; process management; down syndrome; cprm; substation; section; corporate social; social responsibility; environmental comfort"
33002037022p4;33002037022p4;2009.0;"gene; plant; protein; expression; analysis; response; sugarcane; stress; root; leave; growth; cd; soil; resistance; condition; mutant; enzyme; sequence; strain; insect; experiment; variety; control; acid; pest; sc; tissue; metabolic; tomato; copy";6;5;33002037022p4;ciências biológicas i;usp ( escola superior de agricultura luiz de queiroz );piracicaba;internacional biologia celular e molecular vegetal;sudeste;10.0;usp/esalq;sp;"teak; cd; rsd; targeting; ethylene; secondary xylem; drought; tomato; thiamine; sc; hp; defense response; insect; mutant; root; protein; soil; absoluta; silencing; sugarcane; copy; xylem; complementation; vip; gene silencing; aluminum; maize; retrotransposon; rnai; water stress"
33117012002p3;33117012002p3;2004.0;"health; nursing; child; group; nurse; year; patient; datum; pressure; disease; worker; professional; age; activity; woman; care; most; factor; risk; hospital; treatment; hypertension; education; average; work; family; communication; life; analysis; sample";20;4;33117012002p3;enfermagem;universidade universus veritas guarulhos;guarulhos;enfermagem;sudeste;91.0;univeritas ung;sp;"fisherman; nerolidol; marketing; upp; toy; sleep; parturition; burn; atc; reinsertion; ui; daycare; spironolactone; black; paralysis; interpersonal communication; social reinsertion; skin; smoker; pressure injury; qol; negative pressure; chronic pelvic pain; chronic pelvic; relational technology; bed; cha; game; hydrogel; domain"
40004015028p4;40004015028p4;2007.0;"psychology; research; education; work; school; development; social; process; analysis; human; concept; child; cultural; health; practice; theory; historical; relationship; activity; other; way; subject; understanding; psychoanalysis; phenomenon; teacher; professional; knowledge; life; section";37;4;40004015028p4;psicologia;universidade estadual de maringá;maringá;psicologia;sul;137.0;uem;pr;"intuition; unconsciousness; memory; infantile; creativity; humor; crack; suicide; thing; frida; unknown; ideology; adhd; leontiev; luria; autism; scarification; lgbt; dasein; trauma; personal sense; psychotherapy; preconception; tragic; intentionality; perversion; psychoeducational; catastrophic; pornography; torture"
33002029046p5;33002029046p5;2013.0;"health; patient; hospital; system; care; management; medical; quality; clinical; service; cost; indicator; preto; treatment; ribeirão; drug; ribeirão preto; other; analysis; information; case; paulo; use; process; public; são paulo; são; datum; test; medicine";22;4;33002029046p5;saúde coletiva;universidade de são paulo ( ribeirão preto );ribeirão preto;gestão de organizações de saúde;sudeste;53.0;usp/rp;sp;"it; telemedicine; programme; transport; prosthesis; gnp; prescription; notification; engineering; chemo; biliary; ed; price; biotechnology; crc; tl; malpractice; nodule; hpa; competitiveness; centrifugation; stroke; pc; ultrasound; consumable; cloud; remuneration; county; usb; clinical engineering"
15025012001p8;15025012001p8;2012.0;"social; education; process; analysis; territory; pará; family; production; research; region; land; discourse; policy; project; state; practice; public; discursive; marabá; work; field; relation; rural; amazon; cultural; formation; settlement; identity; movement; school";45;3;15025012001p8;interdisciplinar;universidade federal do sul e sudeste do pará;marabá;dinâmicas territoriais e sociedade na amazônia;norte;62.0;unifesspa;pa;"discursive formation; mst; breaker; quilombola; deforestation; discursive; mining; paragominas; tucuruí; sanitation; indigenous; countryside education; accessibility; social reproduction; field education; memory; afs; territorial identity; farming; babassu; massacre; band; marabá; corporal; indigenous group; efa; southeast; iron; pae; incra"
28002016013p0;28002016013p0;2012.0;"health; care; violence; family; nursing; process; nurse; practice; work; datum; analysis; adolescent; school; user; action; research; supervision; social; woman; service; bahia; interview; management; strategy; family health; professional; people; hospital; other; qualitative";20;3;28002016013p0;enfermagem;universidade estadual de feira de santana;feira de santana;enfermagem;nordeste;41.0;uefs;ba;"hemodialysis; immunization; polypharmacy; supervision; violence; resolubility; sna; sexual abuse; hospital emergency; cancer; family healthcare; school violence; quilombola; supporter; caregiver; domestic violence; prison; subsystem; abuse; burnout; institutional; institutional support; teamwork; lesbian; assistance; liberty; leg ulcer; domestic; social representation; sexual"
32011016042p7;32011016042p7;2016.0;"group; evaluation; muscle; training; health; application; value; student; test; quality; difference; elderly; individual; level; control; analysis; use; intervention; limb; activity; stroke; sample; correlation; minute; symptom; foot; woman; datum; rehabilitation; life";21;3;32011016042p7;educação física;universidade federal de alfenas;alfenas;ciências da reabilitação;sudeste;14.0;unifal;mg;"kt; fragility; student; foot; exergame; nmes; bandage; pfm; excitability; whey protein; whey; concentric; training; application; rom; fatigue; elderly; mpt; screen; incontinence; eg; rmt; venous insufficiency; kinesio; goniometry; taping; cabg; muscle training; strength; hand grip strength"
33002029034p7;33002029034p7;1998.0;"bone; group; implant; day; analysis; surface; treatment; test; level; cell; mm; periodontal; tissue; difference; patient; control; parameter; clinical; expression; therapy; significant; gingival; periodontitis; time; preto; ribeirão preto; ribeirão; surgical; formation; effect";18;5;33002029034p7;odontologia;universidade de são paulo ( ribeirão preto );ribeirão preto;odontologia (periodontia);sudeste;60.0;usp/rp;sp;"cm3; col; cpf; ob; membrane; methylation; erk1/2; ep; gingival; argon plasma; pdl; cocktail; proactive; zygomatic; plate; emd; integrin; mirs; recession; argon; bb; allograft; mscs; mesh; gingival recession; srp; graft; pc; osteoblast differentiation; socket"
33107017008p0;33107017008p0;2012.0;"activity; analysis; method; patient; formulation; treatment; acid; product; group; drug; concentration; different; mate; compound; value; tegdma; work; other; complex; solution; cell; test; honey; new; biological; strain; association; disease; evaluation; use";48;3;33107017008p0;biotecnologia;universidade anhanguera de são paulo;são paulo;biotecnologia e inovação em saúde;sudeste;23.0;unian-sp;sp;"honey; tegdma; dm1; mate; postoperative; tacrolimus; glucan; dimethylformamide; sulfonamide; benznidazole; chinese; prednisolone; ad; miltefosine; pepper; organic; exertion; solution; spectroscopic; saliva; emergency; rutin; cardiac surgery; methylation; immunosuppressant; antiparasitic activity; formulation; coumarin; butyric; butyric acid"
41001010047p6;41001010047p6;2001.0;"social; work; research; family; policy; professional; worker; process; service; production; analysis; state; brazilian; relation; assistance; social work; capital; field; social assistance; thesis; right; social service; public; capitalism; brazil; system; project; social worker; practice; labor";32;5;41001010047p6;serviço social;universidade federal de santa catarina;florianópolis;serviço social;sul;98.0;ufsc;sc;"surveillance; psr; socioenvironmental; autonomy; legal field; left; pbp; indigenous; tobacco; mediation; conciliation; brazilian northeastern; nasf; theology; liberation theology; centrality; settlement; interdisciplinarity; technology; northeastern; home; indebtedness; transvestite; dependent capitalism; textile industry; disability; judicialization; urban policy; labour market; gender"
52001016032p6;52001016032p6;2006.0;"production; family; farmer; goiás; research; market; state; rural; chain; price; producer; food; use; area; program; activity; policy; analysis; agricultural; datum; production chain; development; competitiveness; public; social; milk; region; brazilian; seed; brazil";45;4;52001016032p6;interdisciplinar;universidade federal de goiás;goiânia;agronegócio;centro-oeste;79.0;ufg;go;"ilpf; ipm; agroindustrie; creole; seed; portfolio; price; fishing; airport; child; tannery; tomato; settlement; cooperative; cotton; competitiveness; migratory; mission; abc; paa; eucalyptus; pnpb; pnae; cluster; mahogany; poultry production; poultry; roa; soybean; payback"
42002010013p3;42002010013p3;1985.0;"acid; product; compound; sample; treatment; storage; antioxidant; food; activity; analysis; different; concentration; day; method; content; total; extract; effect; value; protein; meat; temperature; milk; level; higher; quality; water; production; lipid; phenolic";25;4;42002010013p3;ciência de alimentos;universidade federal de santa maria;santa maria;ciência e tecnologia dos alimentos;sul;185.0;ufsm;rs;"pcb; carnosine; mead; paste; squalene; tea; ew; eggshell; salami; chlorophyll; collagen; eo; fibre; canteen; auditor; gpp; milk beverage; wine; guava; photobioreactor; olive; us; beer; imidacloprid; petal; fo; blueberry; mw; mushroom; pesticide"
15010015072p9;15010015072p9;2017.0;;7;3;15010015072p9;biodiversidade;universidade federal do oeste do pará;santarém;biodiversidade;norte;0.0;ufopa;pa;
51001012029p2;51001012029p2;2011.0;"specie; area; region; diet; season; brazil; grosso; mato; mato grosso; genus; cerrado; bat; sul; diversity; analysis; pantanal; individual; female; new; forest; other; family; distribution; different; male; habitat; number; state; most; blood";7;3;51001012029p2;biodiversidade;fundação universidade federal de mato grosso do sul;campo grande;biologia animal;centro-oeste;80.0;ufms;ms;"subspecies; bat; skull; lineage; rotifer; pmp; chromatin; occupancy; stingless; host; blood; moenkhausia; dog; cichlid; open; opossum; micron; beetle; small fragment; ruminant; sandfly; seed; caiman; cladocera; grassland; tadpole; diet; nectar; domestic dog; mato grosso"
12001015026p3;12001015026p3;2007.0;"city; area; urban; research; manaus; river; amazon; process; place; environmental; state; datum; work; analysis; community; population; municipality; region; space; use; objective; production; amazonas; relationship; landscape; field; system; network; way; impact";36;4;12001015026p3;geografia;universidade federal do amazonas;manaus;geografia;norte;99.0;ufam;am;"motorcycle; dengue; manacapuru; guaraná; mining; police; indigenous language; watershed; border; road; ponta negra; parintins; manioc; language; flood; health; centrality; negra; basin; fracture; urban cleaning; balbina; starch; fishing; purus; gully; maués; brotherhood; zé; environmental compensation"
28022017010p4;28022017010p4;2013.0;"education; rural; school; research; teacher; field; training; project; work; pedagogical; class; rural education; educational; analysis; program; formation; pedagogy; policy; social; theoretical; countryside; critical; movement; bahia; experience; subject; municipality; process; area; course";38;3;28022017010p4;educação;universidade federal do recôncavo da bahia;amargosa;educação do campo;nordeste;45.0;ufrb;ba;"pronera; mst; yae; rural; uesb; youngster; countryside; rural education; awakening; rural area; pistrak; earth; pedagogical project; field education; critical pedagogy; agriculture; adult; ba; ufba; território; professional education; family agriculture; field worker; bahia; class; stay; vale; rural school; worker; social issues"
42004012007p2;42004012007p2;1997.0;"water; area; region; lagoon; ocean; concentration; sediment; coastal; beach; datum; energy; environment; patos; model; process; shelf; system; high; current; wind; patos lagoon; wave; level; estuary; rio; continental; analysis; period; south; atlantic";5;6;42004012007p2;geociências;universidade federal do rio grande;rio grande;oceanografia física, química e geológica;sul;85.0;furg;rs;"seaweed; tbt; mercury; glacier; sensibility; chl; mat; beach; southern ocean; microscope; ke; microbial; permeability; eddy; app; barrier; flood event; osório; signi; co2; cone; lagoon; ocean; iii; morphotype; gill; ice; dune; shipyard; spatial planning"
15001016086p4;15001016086p4;2015.0;"group; activity; compound; method; derivative; disease; molecular; drug; energy; value; potential; treatment; acid; structure; effect; model; property; work; reaction; mol; molecule; biological; enzyme; antioxidant; cancer; system; theoretical; region; free; new";19;3;15001016086p4;farmácia;universidade federal do pará;belém;química medicinal e modelagem molecular;norte;20.0;ufpa;pa;"melanoma; flap; benznidazole; hdl; ldh; molecular; lce; leukemia; kcal; hiv-1; free energy; cephalothin; group; catechol; nitro; mp2; androgen; amphetamine; electrostatic potential; mombin; ligand; qsar; a2a; caffeic acid; caffeic; nde; edema; prostate; ca; virtual screening"
22011013002p7;22011013002p7;2016.0;"social; research; community; practice; woman; education; school; work; law; people; action; black; racism; subject; agrarian; ceará; conflict; relationship; assistance; settlement; public; merchant; brazilian; process; city; condition; society; state; reform; university";45;3;22011013002p7;interdisciplinar;universidade da integração internacional da lusofonia afro-brasileira;redenção;interdisciplinar em humanidades;nordeste;14.0;unilab;ce;"merchant; social assistance; agrarian; muslim; tomé; intergroup; assistance; racism; mst; agrarian reform; woman; creative; creative process; black; settlement; african matrix; religious; interdisciplinarity; ethnic racial; young people; community; capacitation; african; young; racial; ethnic; different exercise; reform; law; religious practice"
32007019005p0;32007019005p0;1992.0;"steel; analysis; element; structural; structure; method; concrete; section; system; construction; thermal; numerical; building; material; performance; use; work; model; connection; behavior; order; load; design; test; process; problem; composite; experimental; temperature; other";10;4;32007019005p0;engenharias i;universidade federal de ouro preto;ouro preto;engenharia civil;sudeste;117.0;ufop;mg;"closing; aea; deconstruction; connection; upright; basement; reliability index; chord; light steel; connector; façade; framing; bolt; quartzite; architectural design; diagonal; ventilation; thermal; perforation; sleeve; slag; maintenance; container; granite; prestressed; mce; fire; steel-concrete; contact; thermal performance"
33004048023p9;33004048023p9;2012.0;"specie; extract; activity; effect; cell; different; treatment; compound; anxiety; cerrado; antioxidant; plant; area; test; potential; group; animal; period; use; control; development; new; presence; temperature; drug; concentration; change; behavior; growth; analysis";7;4;33004048023p9;biodiversidade;universidade estadual paulista júlio de mesquita filho ( assis );assis;biociências;sudeste;69.0;unesp-assis;sp;"blastocyst; tube; gel; dengue; alginate; grooming; cinnamaldehyde; mlt; puma; neutrophil; sisal; plecoptera; anxiety; quercetin; pitaya; prp; cnidaria; ug; curcumin; brasiliensi; ketoprofen; ipcc; microinjection; lower layer; cattleya; condiment; hydroethanolic; biomembrane; sapindaceae; dry extract"
