tag;_id;ano_inicio_programa;bow;cd_area_avaliacao;cd_conceito_programa;cd_programa_ies;nm_area_avaliacao;nm_entidade_ensino;nm_municipio_programa_ies;nm_programa_ies;nm_regiao;pubs;sg_entidade_ensino;sg_uf_programa;tfidf
33051011007p7;33051011007p7;2004.0;"region; solar; period; ionospheric; galaxy; analysis; datum; ice; latitude; work; plasma; molecule; specie; irregularity; time; electron; formation; wave; type; value; sample; system; polar; storm; different; series; event; spectroscopy; ray; infrared";3;4;33051011007p7;astronomia / física;universidade do vale do paraíba;são josé dos campos;física e astronomia;sudeste;43.0;univap;sp;"scintillation; icf; ice; carotenoid; galaxy; bar; plasma; antenna; irregularity; altitude; rns; ssw; spot; ionospheric; calibration; pca; ghz; perceptron; wave; pal; chaos; leishmania; layer; abundance; flare; mcv; polar; so2; noise; shock"
27001016022p0;27001016022p0;2008.0;"social; relationship; health; care; work; research; school; prejudice; violence; analysis; group; professional; other; practice; process; datum; experience; user; subject; context; sergipe; woman; production; year; scale; way; people; black; question; racism";37;4;27001016022p0;psicologia;fundação universidade federal de sergipe;são cristóvão;psicologia;nordeste;117.0;fufse;se;"dre; childbirth; stroke; racism; clinical psychology; adultery; optimism; deaf; crack; bullying; suspect; sublimation; future perspective; harm; organizational; masculinity; depersonalization; violence; institutional support; football; modernity; inss; lacan; homophobia; helplessness; parental; stereotype; infidelity; human capital; aco"
40001016055p2;40001016055p2;2006.0;"musical; music; research; work; process; learning; analysis; education; practice; student; performance; group; composition; experience; emotional; brazilian; datum; piece; musician; participant; emotion; excerpt; sound; theory; context; teacher; composer; repertoire; motivation; concept";11;4;40001016055p2;artes;universidade federal do paraná;curitiba;música;sul;100.0;ufpr;pr;"br; choro; choir; marin; modeling; aural; passo; pianist; diegetic; folia; flute; caiçaras; doce; musical composition; critical edition; sistema; sound; electronic game; trio; emotional; electroacoustic; intellectual disability; moacir; emotion; branco; anna; game; spectacle; efficacy; caipira"
23001011034p7;23001011034p7;2003.0;"right; law; legal; public; state; constitutional; brazilian; fundamental; international; social; protection; human; order; work; development; principle; process; research; system; constitution; fundamental right; brazil; economic; judicial; federal; justice; analysis; case; new; policy";26;3;23001011034p7;direito;universidade federal do rio grande do norte;natal;direito;nordeste;216.0;ufrn;rn;"habitation; terrorism; inaction; wto; arbitration; nationality; education; water; elderly; behavioural; appointment; salt; city; fashion; animal; conventions; filiation; diplomatic; dsb; picker; advocacy; smart grid; misconduct; solidarity; pronera; improbity; restorative; voip; telephony; religious"
52012018002p8;52012018002p8;2006.0;"water; soil; temperature; experiment; treatment; analysis; index; quality; different; datum; storage; design; productivity; seed; variable; value; fruit; day; content; use; time; production; model; bean; characteristic; area; system; plant; control; soybean";42;4;52012018002p8;ciências agrárias i;universidade estadual de goiás;anápolis;engenharia agrícola;centro-oeste;64.0;ueg;go;"ann; ry; tire; cacl2; adjuvant; aeration; fire; quinoa; geotextile; tis; wqi; reinforcement; tractor; eit; spirulina; spirulina platensis; lake; vine; traffic; shed; manga; seeding; platensis; edible; sectorization; bean; suitability; ldpe; road; carboxymethylcellulose"
41001010014p0;41001010014p0;1971.0;"language; research; analysis; school; portuguese; teacher; education; practice; student; datum; teaching; discourse; linguistic; reading; subject; context; brazilian; sign; use; process; group; production; literacy; other; deaf; writing; social; theoretical; question; participant";41;6;41001010014p0;linguística e literatura;universidade federal de santa catarina;florianópolis;lingüística;sul;220.0;ufsc;sc;"shot; idiom; dyslexia; fluency; elis; directives; cleft; pornography; wh; motion; lap; sonority; educational assessment; stop; error; vowel; sign; libras; np; ppc; clitic; masculine; alphabetization; nasal; linguist; street population; portfolio; school newspaper; facial; spatialization"
33004145070p8;33004145070p8;1992.0;"group; test; surface; treatment; strength; analysis; specimen; sample; resin; mm; dentin; ceramic; bond; difference; adhesive; tooth; value; different; enamel; bond strength; zirconia; implant; cement; cycle; day; control; dental; datum; acid; significant";18;5;33004145070p8;odontologia;universidade estadual paulista júlio de mesquita filho ( são josé dos campos );são josé dos campos;odontologia restauradora;sudeste;167.0;unesp-sjc;sp;"shrna; nac; glaze; endotoxin; dlc; egcg; tci; pei; pcl; permeability; paa; thiourea; mesh; seal; sintering; gloss; pulpal; ethanol; bioglass; gu; plasma; pressure; led; pps; brightness; vba; firing; adrenergic; solvent; abutment"
22001018065p7;22001018065p7;2009.0;"company; research; analysis; corporate; social; innovation; performance; datum; practice; business; market; level; influence; strategy; relationship; organizational; disclosure; development; public; management; ceará; process; factor; model; variable; responsibility; change; firm; context; theory";27;4;22001018065p7;administração pública e de empresas, ciências contábeis e turismo;universidade federal do ceará;fortaleza;administração e controladoria;nordeste;86.0;ufc;ce;"lobbying; symbiosis; dance; private security; corporate reputation; csr; corporate culture; water; intercultural competence; csp; intercultural; reputation; social innovation; university student; comedy; cape verde; innovation; dance company; inclusion; climate change; startup; debt; club; corporative; corporate social; conflict; business incubator; beira; disclosure; craft"
24001015072p9;24001015072p9;2014.0;"energy; solar; production; analysis; system; temperature; thermal; use; water; material; environmental; photovoltaic; source; value; power; method; generation; model; cell; biomass; work; concentration; efficiency; paraíba; forest; solar energy; environment; brazil; process; residue";13;3;24001015072p9;engenharias iii;universidade federal da paraíba ( joão pessoa );joão pessoa;energias renováveis;nordeste;35.0;ufpb-jp;pb;"biosolid; urban forest; firewood; solar; cab; magnetic field; cns; charcoal; vegetal cover; magnetic; desalination; concentrator; green roof; heat pump; cell; catalyst; converter; kinetic parameter; cashew; fertilizer; lca; vegetal; tc; gross value; mesoregion; bark; fv; photovoltaic; forest; phytoremediation"
33015015001p7;33015015001p7;1971.0;"model; theory; quantum; equation; field; system; energy; symmetry; new; function; work; method; space; interaction; matter; mass; thesis; particle; standard; dynamic; dark; effect; problem; physics; structure; solution; state; sitter; relativity; population";3;7;33015015001p7;astronomia / física;universidade estadual paulista júlio de mesquita filho ( instituto de física teórica );são paulo;física;sudeste;104.0;unesp-ift;sp;"electrodynamics; pv; ghost; symplectic; hierarchy; halo; thank; gordon; parasite; amplitude; higgs; string; brane; sitter; extra; theta; bf; integrability; dimension; triplet; defect; duality; mass ratio; prescription; background; monopole; dual; black; muon; cluster"
25001019031p3;25001019031p3;1979.0;"social; policy; health; work; research; state; public; process; assistance; right; service; analysis; professional; education; brazilian; development; social assistance; program; political; worker; condition; management; society; project; social work; national; system; action; relation; brazil";32;6;25001019031p3;serviço social;universidade federal de pernambuco;recife;serviço social;nordeste;137.0;ufpe;pe;"water; unemployment; radio; conservatism; iguape; aids; grandparent; rationalism; feminist; housing; overexploitation; shs; motorcycle; ideal; human trafficking; aesthetic; unique system; bpc; lpa; public security; ps; management; sanitary reform; agriculture; sme; cancer; cell anemia; ufrpe; anemia; human right"
42001013053p5;42001013053p5;1991.0;"group; tooth; cell; oral; health; dental; analysis; treatment; patient; test; control; difference; periodontal; clinical; sample; lesion; day; significant; carie; level; disease; root; restoration; effect; biofilm; surface; time; tissue; presence; rate";18;6;42001013053p5;odontologia;universidade federal do rio grande do sul;porto alegre;odontologia;sul;302.0;ufrgs;rs;"sox2; ds; fak; bismuth; follicle; ecc; beer; td; metabolic syndrome; laura; gr; ldh; prototype; nb2o5; dex; malnutrition; toothbrush; ncs; pmp; tumor; filter; brush; biofilm; gb; hospitalization; sesc; canine; supra; vinegar; indomethacin"
31003010075p4;31003010075p4;2011.0;"social; public; research; work; process; state; space; political; city; urban; development; policy; analysis; conflict; relation; practice; school; relationship; brazilian; life; way; neighborhood; sociology; dissertation; representation; community; context; experience; economic; people";34;4;31003010075p4;sociologia;universidade federal fluminense;niterói;sociologia;sudeste;67.0;uff;rj;"maya; feminism; corruption; humor; eja; deaf; fashion; csn; street art; caregiver; carnival; cinema; são bento; sertanejo; comperj; parliamentary; urban experience; interior design; pina; são domingos; intolerance; niche; staff; fishing; bnde; flood; bento; urbanization; mozambique; union"
